,label,Blob Polarity,Blob Subjectivity,Capitalization,Negative Sentiment,POS_1,POS_2,POS_3,POS_4,Positive Sentiment,Topic :,first half Blob Polarity,first half Blob Subjectivity,first half sentiment,negative Sentiment first half,negative Sentiment second half,positive Sentiment first half,positive Sentiment second half,second half Blob Polarity,second half Blob Subjectivity,second half sentiment,sentiment
0,1,0.5,0.6,0,0.03125,2.0,0.0,2.0,0.0,0.625,,0.5,0.6,0.59375,0.03125,0.0,0.625,0.0,0.0,0.0,0.0,0.59375
1,1,-0.8,0.9,0,1.44444444444,3.0,0.0,3.0,1.0,0.305555555556,0.5025,-0.8,0.9,-0.638888888889,0.819444444444,0.625,0.180555555556,0.125,0.0,0.0,-0.5,-1.13888888889
2,0,-0.5,1.0,0,0.725,3.0,1.0,2.0,2.0,0.125,,-0.5,1.0,-0.6,0.725,0.0,0.125,0.0,0.0,0.0,0.0,-0.6
3,0,-0.8,0.9,1,0.778409090909,1.0,0.0,7.0,3.0,0.145833333333,0.75125,-0.8,0.9,-0.541666666667,0.625,0.153409090909,0.0833333333333,0.0625,0.0,0.0,-0.0909090909091,-0.632575757576
4,1,0.78125,0.6,1,0.0390625,4.0,0.0,2.0,1.0,0.640625,0.75125,0.5,0.6,0.6015625,0.0390625,0.0,0.640625,0.0,0.0,0.0,0.0,0.6015625
5,1,0.166666666667,0.416666666667,0,0.0,1.0,1.0,1.0,0.0,0.791666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.791666666667,0.166666666667,0.416666666667,0.791666666667,0.791666666667
6,1,-0.4,0.9,0,0.886047979798,5.0,2.0,4.0,2.0,0.0347222222222,0.715,-0.6,1.0,-0.111742424242,0.111742424242,0.774305555556,0.0,0.0347222222222,-0.2,0.8,-0.739583333333,-0.851325757576
7,0,0.0,0.0,0,0.541666666667,5.0,2.0,6.0,2.0,0.8875,0.75125,0.0,0.0,0.116666666667,0.333333333333,0.208333333333,0.45,0.4375,0.0,0.0,0.229166666667,0.345833333333
8,0,-0.6,0.8,0,0.971984265734,3.0,0.0,7.0,3.0,0.132532051282,0.5025,0.0,0.0,-0.773164335664,0.874446386946,0.0975378787879,0.101282051282,0.03125,-0.6,0.8,-0.0662878787879,-0.839452214452
9,1,0.225,0.5,0,0.822916666667,3.0,1.0,4.0,3.0,0.868055555556,0.668333333333,0.225,0.5,0.642361111111,0.197916666667,0.625,0.840277777778,0.0277777777778,0.0,0.0,-0.597222222222,0.0451388888889
10,0,0.441666666667,0.65,0,0.442708333333,3.0,1.0,2.0,5.0,0.671875,,0.35,0.475,-0.0208333333333,0.130208333333,0.3125,0.109375,0.5625,0.5,1.0,0.25,0.229166666667
11,1,0.455357142857,0.517857142857,0,0.025,3.0,1.0,3.0,2.0,0.1375,,0.285714285714,0.535714285714,0.1125,0.025,0.0,0.1375,0.0,0.625,0.5,0.0,0.1125
12,0,0.36,0.57,0,0.0782828282828,5.0,2.0,3.0,5.0,1.77083333333,0.220214104825,0.433333333333,0.616666666667,1.1875,0.0,0.0782828282828,1.1875,0.583333333333,0.25,0.5,0.505050505051,1.69255050505
13,0,0.0,0.125,0,0.233630952381,6.0,2.0,4.0,2.0,0.268849206349,0.5025,0.0,0.0,0.0560515873016,0.077380952381,0.15625,0.133432539683,0.135416666667,0.0,0.125,-0.0208333333333,0.0352182539683
14,0,0.3,0.3625,0,1.06314310689,5.0,2.0,5.0,5.0,1.03842407592,,0.1,0.1,0.327272727273,0.365340909091,0.697802197802,0.692613636364,0.34581043956,0.5,0.625,-0.351991758242,-0.024719030969
15,0,1.0,0.6,1,0.975366300366,0.0,1.0,9.0,6.0,0.299496336996,0.5025,1.0,0.6,-0.0875,0.175,0.800366300366,0.0875,0.211996336996,0.0,0.0,-0.58836996337,-0.67586996337
16,0,-0.025,0.35,0,0.6875,1.0,0.0,3.0,4.0,0.791666666667,0.5025,-0.025,0.35,-0.1875,0.6875,0.0,0.5,0.291666666667,0.0,0.0,0.291666666667,0.104166666667
17,1,0.21875,0.59375,0,0.385052447552,3.0,3.0,4.0,0.0,1.11472902098,,0.125,0.625,0.03125,0.3125,0.0725524475524,0.34375,0.770979020979,0.5,0.5,0.698426573427,0.729676573427
18,0,-0.118518518519,0.362962962963,1,1.06453634085,8.0,3.0,5.0,5.0,0.219845067213,0.5025,-0.2,0.8,-0.882191273639,1.00203634085,0.0625,0.119845067213,0.1,-0.0777777777778,0.144444444444,0.0375,-0.844691273639
19,0,0.5,0.6,0,0.7375,5.0,1.0,4.0,4.0,1.74702380952,0.5025,0.5,0.6,1.3625,0.0625,0.675,1.425,0.322023809524,0.0,0.0,-0.352976190476,1.00952380952
20,1,0.0,0.5,1,0.0,4.0,0.0,1.0,2.0,0.25,0.335,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
21,1,0.233333333333,0.433333333333,0,1.26388888889,1.0,1.0,3.0,3.0,1.00694444444,0.801,0.15,0.65,0.0555555555556,0.638888888889,0.625,0.694444444444,0.3125,0.3,0.0,-0.3125,-0.256944444444
22,1,0.35,0.4,1,0.362980769231,3.0,2.0,4.0,2.0,1.86217948718,0.335,0.35,0.4,0.790865384615,0.362980769231,0.0,1.15384615385,0.708333333333,0.0,0.0,0.708333333333,1.49919871795
23,1,0.7,0.6,0,0.6875,2.0,1.0,1.0,1.0,0.0260416666667,0.5025,0.7,0.6,0.0104166666667,0.0,0.6875,0.0104166666667,0.015625,0.0,0.0,-0.671875,-0.661458333333
24,1,0.0,0.0,0,0.736111111111,0.0,0.0,1.0,1.0,0.0277777777778,0.5025,0.0,0.0,-0.0833333333333,0.111111111111,0.625,0.0277777777778,0.0,0.0,0.0,-0.625,-0.708333333333
25,1,0.5,0.6,0,0.0947115384615,1.0,0.0,4.0,1.0,0.634615384615,,0.5,0.6,0.59375,0.03125,0.0634615384615,0.625,0.00961538461538,0.0,0.0,-0.0538461538462,0.539903846154
26,1,0.8,0.75,0,0.0208333333333,4.0,1.0,2.0,0.0,0.3125,0.5025,0.0,0.0,0.0,0.0,0.0208333333333,0.0,0.3125,0.8,0.75,0.291666666667,0.291666666667
27,0,0.0848484848485,0.260606060606,1,0.242424242424,7.0,0.0,3.0,0.0,0.261363636364,0.834166666667,0.136363636364,0.454545454545,0.0189393939394,0.242424242424,0.0,0.261363636364,0.0,0.0333333333333,0.0666666666667,0.0,0.0189393939394
28,0,-0.433333333333,0.833333333333,0,1.62200854701,2.0,3.0,3.0,2.0,0.509401709402,,0.0,0.0,0.0,0.0,1.62200854701,0.0,0.509401709402,-0.433333333333,0.833333333333,-1.11260683761,-1.11260683761
29,1,0.172222222222,0.444444444444,1,0.490131578947,9.0,1.0,4.0,2.0,0.797514619883,0.601,0.5,0.6,0.415021929825,0.333881578947,0.15625,0.748903508772,0.0486111111111,-0.155555555556,0.288888888889,-0.107638888889,0.307383040936
30,1,0.1,0.766666666667,0,0.242824074074,2.0,2.0,4.0,0.0,0.334259259259,0.5025,0.5,0.75,0.0625,0.2,0.0428240740741,0.2625,0.0717592592593,-0.7,0.8,0.0289351851852,0.0914351851852
31,1,-0.15,0.35,0,0.385964912281,4.0,1.0,3.0,1.0,0.311403508772,0.335,0.2,0.2,-0.0328947368421,0.0526315789474,0.333333333333,0.0197368421053,0.291666666667,-0.5,0.5,-0.0416666666667,-0.0745614035088
32,1,0.75,0.8,0,0.786458333333,4.0,1.0,3.0,3.0,1.77604166667,0.75125,0.5,0.6,0.864583333333,0.0364583333333,0.75,0.901041666667,0.875,1.0,1.0,0.125,0.989583333333
33,1,0.225,0.7,1,0.260416666667,3.0,2.0,4.0,0.0,0.361111111111,0.5025,0.5,1.0,0.15625,0.09375,0.166666666667,0.25,0.111111111111,-0.05,0.4,-0.0555555555556,0.100694444444
34,1,0.295238095238,0.311904761905,0,1.06524725275,5.0,0.0,5.0,2.0,0.559764194139,,0.292857142857,0.367857142857,0.0796130952381,0.245535714286,0.819711538462,0.325148809524,0.234615384615,0.3,0.2,-0.585096153846,-0.505483058608
35,1,0.8,1.0,0,0.0,4.0,1.0,2.0,2.0,0.416666666667,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.416666666667,0.8,1.0,0.416666666667,0.416666666667
36,1,0.0,0.0,0,0.0340909090909,3.0,0.0,3.0,0.0,0.0738636363636,,0.0,0.0,-0.0227272727273,0.0340909090909,0.0,0.0113636363636,0.0625,0.0,0.0,0.0625,0.0397727272727
37,1,0.375,0.466666666667,1,0.0389030612245,3.0,1.0,3.0,0.0,0.782738095238,0.5025,0.375,0.466666666667,0.697916666667,0.03125,0.00765306122449,0.729166666667,0.0535714285714,0.0,0.0,0.0459183673469,0.743835034014
38,1,0.0,0.0,0,0.933293269231,3.0,0.0,2.0,2.0,0.192908653846,0.335,0.0,0.0,0.0,0.0,0.933293269231,0.0,0.192908653846,0.0,0.0,-0.740384615385,-0.740384615385
39,1,0.7,0.666666666667,0,0.101050569801,3.0,2.0,6.0,5.0,1.07412494912,0.5025,0.65,0.65,0.832532051282,0.0408653846154,0.0601851851852,0.873397435897,0.200727513228,0.8,0.7,0.140542328042,0.973074379324
40,0,0.75,0.75,0,0.988461538462,2.0,2.0,5.0,2.0,1.04294871795,,0.75,0.75,0.675,0.275,0.713461538462,0.95,0.0929487179487,0.0,0.0,-0.620512820513,0.0544871794872
41,0,0.5,0.5625,0,1.60096153846,4.0,1.0,7.0,2.0,0.582532051282,0.50125,1.0,1.0,0.0104166666667,0.5,1.10096153846,0.510416666667,0.0721153846154,0.0,0.125,-1.02884615385,-1.01842948718
42,0,0.466666666667,0.466666666667,1,0.121590909091,8.0,1.0,5.0,2.0,0.473863636364,,0.0,0.0,0.177272727273,0.0340909090909,0.0875,0.211363636364,0.2625,0.466666666667,0.466666666667,0.175,0.352272727273
43,1,0.136363636364,0.5,0,0.41032388664,2.0,1.0,11.0,2.0,0.339067511436,,0.136363636364,0.5,0.0252747252747,0.207692307692,0.202631578947,0.232967032967,0.106100478469,0.0,0.0,-0.0965311004785,-0.0712563752037
44,0,0.0,0.5,0,1.50192307692,2.0,1.0,6.0,3.0,0.144230769231,,0.0,0.5,-0.703846153846,0.838461538462,0.663461538462,0.134615384615,0.00961538461538,0.0,0.0,-0.653846153846,-1.35769230769
45,1,-0.251851851852,0.45462962963,0,1.29942645074,4.0,2.0,6.0,6.0,0.746018893387,,-0.3,0.6,-0.05,0.275,1.02442645074,0.225,0.521018893387,-0.227777777778,0.381944444444,-0.503407557355,-0.553407557355
46,1,-0.3125,0.6875,1,0.0931535569693,1.0,0.0,8.0,2.0,0.272629782498,,-0.3125,0.6875,0.169101731602,0.0357142857143,0.0574392712551,0.204816017316,0.0678137651822,0.0,0.0,0.0103744939271,0.179476225529
